Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_ONS_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,%,Coverage_3andhalfyears__25-49,77.67985266036180000000
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,%,Coverage_5andhalfyears__50-64,79.41991762329100000000
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,%,Coverage_in_period__25-64,78.40912074352180000000
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,Number,Eligible__25-49,88503
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,Number,Eligible__25-64,152356
13,2018-19,D,E12000003,Yorkshire and The Humber,36,E10000023,North Yorkshire,Number,Eligible__50-64,63853
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,%,Coverage_3andhalfyears__25-49,75.56240749876660000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,%,Coverage_5andhalfyears__50-64,79.13856863171630000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,%,Coverage_in_period__25-64,76.85635576544670000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,Number,Eligible__25-49,40540
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,Number,Eligible__25-64,63525
13,2018-19,D,E12000003,Yorkshire and The Humber,00CC,E08000016,Barnsley,Number,Eligible__50-64,22985
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,%,Coverage_3andhalfyears__25-49,73.25507989741570000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,%,Coverage_5andhalfyears__50-64,76.63183509876900000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,%,Coverage_in_period__25-64,74.45507032581330000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,Number,Eligible__25-49,50690
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,Number,Eligible__25-64,78634
13,2018-19,D,E12000003,Yorkshire and The Humber,00CE,E08000017,Doncaster,Number,Eligible__50-64,27944
13,2018-19,D,E12000003,Yorkshire and The Humber,00CF,E08000018,Rotherham,%,Coverage_3andhalfyears__25-49,75.86818584976460000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CF,E08000018,Rotherham,%,Coverage_5andhalfyears__50-64,78.23558939178450000000
13,2018-19,D,E12000003,Yorkshire and The Humber,00CF,E08000018,Rotherham,%,Coverage_in_period__25-64,76.70197563239390000000
